entry_time,exit_time,entry_price,exit_price,quantity,pnl,entry_reason,exit_reason,session
2025-11-26 06:25:00-05:00,2025-11-26 06:35:00-05:00,25205.25,25184.75,10,-465.0,Long entry: UT Bot buy signal,Close below UT Bot trailing stop (25196.97),overnight
2025-11-27 02:50:00-05:00,2025-11-27 03:05:00-05:00,25319.75,25298.0,10,-490.0,Long entry: UT Bot buy signal,Hard stop hit at 25300.72,overnight
2025-11-27 03:20:00-05:00,2025-11-27 03:45:00-05:00,25321.0,25310.5,10,-265.0,Long entry: UT Bot buy signal,Close below UT Bot trailing stop (25312.76),overnight
2025-11-27 04:35:00-05:00,2025-11-27 04:45:00-05:00,25318.0,25311.5,10,-185.0,Long entry: UT Bot buy signal,Close below UT Bot trailing stop (25312.76),overnight
2025-11-27 06:00:00-05:00,2025-11-27 06:15:00-05:00,25315.75,25311.0,10,-150.0,Long entry: UT Bot buy signal,Close below UT Bot trailing stop (25312.76),overnight
2025-11-27 06:40:00-05:00,2025-11-27 06:50:00-05:00,25320.5,25311.25,10,-240.0,Long entry: UT Bot buy signal,Close below UT Bot trailing stop (25312.76),overnight
2025-11-27 18:10:00-05:00,2025-11-27 18:15:00-05:00,25317.0,25311.5,10,-165.0,Long entry: UT Bot buy signal,Close below UT Bot trailing stop (25312.76),overnight
2025-11-27 18:25:00-05:00,2025-11-28 09:25:00-05:00,25322.25,25359.0,10,680.0,Long entry: UT Bot buy signal,End of day exit,overnight
2025-12-01 02:30:00-05:00,2025-12-01 07:10:00-05:00,25273.5,25265.5,10,-215.0,Long entry: UT Bot buy signal,Close below UT Bot trailing stop (25269.39),overnight
2025-12-01 20:10:00-05:00,2025-12-01 20:30:00-05:00,25434.75,25423.0,10,-290.0,Long entry: UT Bot buy signal,Close below UT Bot trailing stop (25423.10),overnight
2025-12-02 02:05:00-05:00,2025-12-02 02:30:00-05:00,25380.5,25374.5,10,-175.0,Long entry: UT Bot buy signal,Close below UT Bot trailing stop (25375.73),overnight
2025-12-02 03:45:00-05:00,2025-12-02 09:25:00-05:00,25410.0,25492.25,10,1590.0,Long entry: UT Bot buy signal,End of day exit,overnight
2025-12-02 19:40:00-05:00,2025-12-03 01:30:00-05:00,25607.25,25645.75,10,715.0,Long entry: UT Bot buy signal,Close below UT Bot trailing stop (25649.25),overnight
2025-12-03 03:55:00-05:00,2025-12-03 04:00:00-05:00,25659.5,25642.0,10,-405.0,Long entry: UT Bot buy signal,Close below UT Bot trailing stop (25649.25),overnight
2025-12-03 20:05:00-05:00,2025-12-03 21:10:00-05:00,25648.75,25626.25,10,-505.0,Long entry: UT Bot buy signal,Close below UT Bot trailing stop (25632.44),overnight
2025-12-04 03:45:00-05:00,2025-12-04 03:55:00-05:00,25639.5,25634.75,10,-150.0,Long entry: UT Bot buy signal,Close below UT Bot trailing stop (25636.15),overnight
2025-12-04 04:30:00-05:00,2025-12-04 06:15:00-05:00,25663.0,25633.5,10,-645.0,Long entry: UT Bot buy signal,Close below UT Bot trailing stop (25636.15),overnight
2025-12-04 06:30:00-05:00,2025-12-04 08:50:00-05:00,25645.0,25631.25,10,-330.0,Long entry: UT Bot buy signal,Close below UT Bot trailing stop (25636.15),overnight
2025-12-04 16:05:00-05:00,2025-12-04 18:30:00-05:00,25634.0,25615.25,10,-430.0,Long entry: UT Bot buy signal,Close below UT Bot trailing stop (25616.69),overnight
2025-12-04 18:55:00-05:00,2025-12-05 04:35:00-05:00,25621.25,25711.5,10,1750.0,Long entry: UT Bot buy signal,Close below UT Bot trailing stop (25712.02),overnight
2025-12-05 04:50:00-05:00,2025-12-05 07:15:00-05:00,25713.0,25705.25,10,-210.0,Long entry: UT Bot buy signal,Close below UT Bot trailing stop (25712.02),overnight
2025-12-05 16:05:00-05:00,2025-12-07 19:00:00-05:00,25736.75,25719.75,10,-395.0,Long entry: UT Bot buy signal,Close below UT Bot trailing stop (25725.82),overnight
2025-12-07 19:30:00-05:00,2025-12-08 03:25:00-05:00,25733.25,25784.5,10,970.0,Long entry: UT Bot buy signal,Close below UT Bot trailing stop (25788.01),overnight
