entry_time,entry_price,exit_time,exit_price,pnl
2025-10-22 18:10:00-04:00,25039.5,2025-10-22 19:50:00-04:00,25011.75,-610.0
2025-10-22 20:25:00-04:00,25027.25,2025-10-23 00:10:00-04:00,25072.5,850.0
2025-10-23 00:25:00-04:00,25080.75,2025-10-23 00:30:00-04:00,25066.5,-340.0
2025-10-24 03:35:00-04:00,25359.25,2025-10-24 03:45:00-04:00,25337.75,-485.0
2025-10-24 04:50:00-04:00,25356.75,2025-10-24 09:25:00-04:00,25466.75,2145.0
2025-10-26 18:05:00-04:00,25723.5,2025-10-27 04:25:00-04:00,25776.75,707.0
2025-10-27 04:40:00-04:00,25792.75,2025-10-27 07:45:00-04:00,25814.25,375.0
2025-10-27 20:40:00-04:00,25982.5,2025-10-27 20:45:00-04:00,25978.75,-130.0
2025-10-28 06:20:00-04:00,25987.25,2025-10-28 09:25:00-04:00,26051.5,1230.0
2025-10-28 18:05:00-04:00,26181.75,2025-10-28 18:45:00-04:00,26173.75,-215.0
2025-10-28 19:20:00-04:00,26186.0,2025-10-28 20:00:00-04:00,26172.5,-325.0
2025-10-28 20:25:00-04:00,26185.5,2025-10-28 20:50:00-04:00,26172.5,-315.0
2025-10-29 16:00:00-04:00,26331.25,2025-10-29 16:05:00-04:00,26215.0,-952.0
2025-10-29 20:15:00-04:00,26284.25,2025-10-30 00:05:00-04:00,26306.25,385.0
2025-10-30 16:20:00-04:00,26019.25,2025-10-31 01:50:00-04:00,26166.0,2016.0
2025-10-31 02:05:00-04:00,26172.0,2025-10-31 02:50:00-04:00,26156.0,-375.0
2025-10-31 03:35:00-04:00,26198.0,2025-10-31 04:10:00-04:00,26160.0,-815.0
2025-10-31 04:30:00-04:00,26177.5,2025-10-31 04:35:00-04:00,26166.25,-280.0
2025-10-31 06:35:00-04:00,26188.25,2025-10-31 08:40:00-04:00,26219.5,570.0
2025-11-02 18:10:00-05:00,26070.75,2025-11-02 21:35:00-05:00,26073.5,0.0
2025-11-03 00:35:00-05:00,26085.5,2025-11-03 00:45:00-05:00,26068.0,-405.0
2025-11-03 03:45:00-05:00,26080.75,2025-11-03 09:25:00-05:00,26235.5,3040.0
2025-11-04 06:20:00-05:00,25766.0,2025-11-04 07:00:00-05:00,25736.25,-650.0
2025-11-05 06:45:00-05:00,25473.0,2025-11-05 09:25:00-05:00,25542.0,1325.0
2025-11-06 00:25:00-05:00,25725.5,2025-11-06 00:30:00-05:00,25719.75,-170.0
2025-11-06 04:15:00-05:00,25734.0,2025-11-06 09:00:00-05:00,25744.75,160.0
2025-11-07 00:10:00-05:00,25294.5,2025-11-07 03:30:00-05:00,25290.25,-140.0
2025-11-07 03:45:00-05:00,25316.75,2025-11-07 04:00:00-05:00,25289.75,-595.0
2025-11-12 00:05:00-05:00,25725.25,2025-11-12 03:00:00-05:00,25768.0,800.0
2025-11-12 03:20:00-05:00,25787.5,2025-11-12 06:25:00-05:00,25744.0,-925.0
2025-11-12 20:10:00-05:00,25696.5,2025-11-13 02:50:00-05:00,25671.0,-508.5
2025-11-13 03:55:00-05:00,25677.0,2025-11-13 04:00:00-05:00,25661.0,-375.0
2025-11-14 00:45:00-05:00,25094.75,2025-11-14 01:00:00-05:00,25076.75,-415.0
2025-11-14 16:15:00-05:00,25153.0,2025-11-16 18:00:00-05:00,25031.0,-1746.5
2025-11-16 18:20:00-05:00,25141.75,2025-11-17 01:50:00-05:00,25230.25,1200.5
2025-11-17 02:00:00-05:00,25241.5,2025-11-17 04:35:00-05:00,25278.75,690.0
2025-11-17 16:15:00-05:00,24916.5,2025-11-17 16:25:00-05:00,24898.5,-290.5
2025-11-17 18:05:00-05:00,24916.75,2025-11-17 18:10:00-05:00,24903.5,-320.0
2025-11-17 18:30:00-05:00,24921.75,2025-11-17 19:15:00-05:00,24878.5,-920.0
2025-11-17 20:20:00-05:00,24935.5,2025-11-17 21:35:00-05:00,24874.5,-1147.5
2025-11-18 03:10:00-05:00,24747.5,2025-11-18 07:10:00-05:00,24708.25,-672.0
2025-11-19 02:10:00-05:00,24603.0,2025-11-19 09:05:00-05:00,24630.5,445.5
2025-11-19 16:25:00-05:00,24851.25,2025-11-20 01:25:00-05:00,25143.0,2312.0
2025-11-20 03:10:00-05:00,25154.25,2025-11-20 03:30:00-05:00,25142.0,-300.0
2025-11-20 20:25:00-05:00,24227.0,2025-11-20 20:30:00-05:00,24207.5,-445.0
2025-11-20 20:45:00-05:00,24219.5,2025-11-20 20:55:00-05:00,24206.0,-325.0
2025-11-21 04:00:00-05:00,24189.5,2025-11-21 04:10:00-05:00,24188.0,-59.5
2025-11-21 06:00:00-05:00,24088.0,2025-11-21 06:45:00-05:00,24044.5,-555.0
2025-11-23 18:05:00-05:00,24495.0,2025-11-23 23:10:00-05:00,24453.5,-531.0
2025-11-24 00:10:00-05:00,24500.5,2025-11-24 02:00:00-05:00,24454.5,-975.0
2025-11-25 00:40:00-05:00,24932.5,2025-11-25 00:45:00-05:00,24925.0,-205.0
2025-11-26 06:25:00-05:00,25205.25,2025-11-26 06:35:00-05:00,25184.75,-465.0
2025-11-27 02:50:00-05:00,25319.75,2025-11-27 03:05:00-05:00,25298.0,-490.0
2025-11-27 03:20:00-05:00,25321.0,2025-11-27 03:45:00-05:00,25310.5,-265.0
2025-11-27 04:35:00-05:00,25318.0,2025-11-27 04:45:00-05:00,25311.5,-185.0
2025-11-27 06:00:00-05:00,25315.75,2025-11-27 06:15:00-05:00,25311.0,-150.0
2025-11-27 06:40:00-05:00,25320.5,2025-11-27 06:50:00-05:00,25311.25,-240.0
2025-11-27 18:10:00-05:00,25317.0,2025-11-27 18:15:00-05:00,25311.5,-165.0
2025-11-27 18:25:00-05:00,25322.25,2025-11-28 09:25:00-05:00,25359.0,680.0
2025-12-01 02:30:00-05:00,25273.5,2025-12-01 07:10:00-05:00,25265.5,-215.0
2025-12-01 20:10:00-05:00,25434.75,2025-12-01 20:30:00-05:00,25423.0,-290.0
2025-12-02 02:05:00-05:00,25380.5,2025-12-02 02:30:00-05:00,25374.5,-175.0
2025-12-02 03:45:00-05:00,25410.0,2025-12-02 09:25:00-05:00,25492.25,1590.0
2025-12-02 19:40:00-05:00,25607.25,2025-12-03 01:30:00-05:00,25645.75,715.0
2025-12-03 03:55:00-05:00,25659.5,2025-12-03 04:00:00-05:00,25642.0,-405.0
2025-12-03 20:05:00-05:00,25648.75,2025-12-03 21:10:00-05:00,25626.25,-505.0
2025-12-04 03:45:00-05:00,25639.5,2025-12-04 03:55:00-05:00,25634.75,-150.0
2025-12-04 04:30:00-05:00,25663.0,2025-12-04 06:15:00-05:00,25633.5,-645.0
2025-12-04 06:30:00-05:00,25645.0,2025-12-04 08:50:00-05:00,25631.25,-330.0
2025-12-04 16:05:00-05:00,25634.0,2025-12-04 18:30:00-05:00,25615.25,-430.0
2025-12-04 18:55:00-05:00,25621.25,2025-12-05 04:35:00-05:00,25711.5,1750.0
2025-12-05 04:50:00-05:00,25713.0,2025-12-05 07:15:00-05:00,25705.25,-210.0
2025-12-05 16:05:00-05:00,25736.75,2025-12-07 19:00:00-05:00,25719.75,-395.0
2025-12-07 19:30:00-05:00,25733.25,2025-12-08 03:25:00-05:00,25784.5,970.0
2025-12-08 04:25:00-05:00,25793.75,2025-12-08 04:40:00-05:00,25781.25,-305.0
2025-12-08 06:15:00-05:00,25790.75,2025-12-08 06:20:00-05:00,25776.75,-335.0
2025-12-08 16:05:00-05:00,25664.25,2025-12-08 16:10:00-05:00,25660.75,-125.0
2025-12-08 16:30:00-05:00,25685.0,2025-12-08 21:05:00-05:00,25688.0,5.0
2025-12-09 02:05:00-05:00,25690.5,2025-12-09 02:15:00-05:00,25682.25,-220.0
2025-12-10 00:30:00-05:00,25682.75,2025-12-10 05:20:00-05:00,25677.5,-160.0
2025-12-10 19:20:00-05:00,25725.25,2025-12-10 19:30:00-05:00,25718.5,-190.0
2025-12-11 02:45:00-05:00,25539.25,2025-12-11 03:00:00-05:00,25505.0,-740.0
2025-12-11 04:05:00-05:00,25557.5,2025-12-11 09:25:00-05:00,25643.25,1660.0
2025-12-12 00:40:00-05:00,25695.25,2025-12-12 01:30:00-05:00,25684.5,-270.0
